fraction,clean_neg,clean_pos,troj_neg,troj_pos,num_nonzero,num_total,fraction
0.1,0.9364,0.9968,0.9522,0.0008,10469,107400,9.747672253258845
0.05,0.9342,0.9844,0.9524,0.0008,5252,107400,4.890130353817504
0.01,0.9326,0.9116,0.9522,0.0008,1068,107400,0.994413407821229
0.005,0.9312,0.9292,0.9524,0.0006,528,107400,0.49162011173184356
0.001,0.9204,0.9962,0.9512,0.0006,108,107400,0.1005586592178771
