fraction,clean_neg,clean_pos,troj_neg,troj_pos,num_nonzero,num_total,fraction
0.1,0.9366,0.997,0.9524,0.0008,10740,107400,10.0
0.05,0.9358,0.9964,0.9522,0.0008,5370,107400,5.0
0.01,0.9324,0.9966,0.9524,0.0006,1074,107400,1.0
0.005,0.9278,0.9968,0.9524,0.0008,537,107400,0.5
0.001,0.9184,0.997,0.952,0.0014,108,107400,0.1005586592178771
