layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,1.2,0.09729999899864197,0.0526,-2
[0],10,contig_best,original,1.1,0.09729999899864197,0.0537,-1
[0],100,contig_best,original,0.5,0,0,0
[0],100,contig_best,original,1.2,0.09710000157356262,0.0548,-2
[0],100,contig_best,original,1.1,0.09760000109672547,0.0518,-1
[0],1000,contig_best,original,0.5,0,0,0
[0],1000,contig_best,original,1.2,0.09829999804496765,0.0513,-2
[0],1000,contig_best,original,1.1,0.09739999771118164,0.0532,-1
[0],10000,contig_best,original,0.5,0,0,0
[0],10000,contig_best,original,1.2,0.09710000157356262,0.0515,-2
[0],10000,contig_best,original,1.1,0.09729999899864197,0.0529,-1
[1],10,contig_best,original,0.5,0,0,0
[1],10,contig_best,original,1.2,0.09760000109672547,0.0528,-2
[1],10,contig_best,original,1.1,0.09679999947547913,0.055,-1
[1],100,contig_best,original,0.5,0,0,0
[1],100,contig_best,original,1.2,0.09789999723434448,0.0549,-2
[1],100,contig_best,original,1.1,0.09760000109672547,0.051,-1
[1],1000,contig_best,original,0.5,0,0,0
[1],1000,contig_best,original,1.2,0.09700000286102295,0.0545,-2
[1],1000,contig_best,original,1.1,0.09660000205039979,0.0553,-1
[1],10000,contig_best,original,0.5,0,0,0
[1],10000,contig_best,original,1.2,0.09670000076293946,0.0536,-2
[1],10000,contig_best,original,1.1,0.0977999985218048,0.0542,-1
[2],10,contig_best,original,0.5,0,0,0
[2],10,contig_best,original,1.2,0.09789999723434448,0.0557,-2
[2],10,contig_best,original,1.1,0.09739999771118164,0.0557,-1
[2],100,contig_best,original,0.5,0,0,0
[2],100,contig_best,original,1.2,0.09660000205039979,0.053,-2
[2],100,contig_best,original,1.1,0.09729999899864197,0.0519,-1
[2],1000,contig_best,original,0.5,0,0,0
[2],1000,contig_best,original,1.2,0.09739999771118164,0.0539,-2
[2],1000,contig_best,original,1.1,0.09660000205039979,0.0545,-1
[2],10000,contig_best,original,0.5,0,0,0
[2],10000,contig_best,original,1.2,0.0981000006198883,0.0535,-2
[2],10000,contig_best,original,1.1,0.0968999981880188,0.0546,-1
[3],10,contig_best,original,0.5,0,0,0
[3],10,contig_best,original,1.2,0.09700000286102295,0.0508,-2
[3],10,contig_best,original,1.1,0.09700000286102295,0.0531,-1
[3],100,contig_best,original,0.5,0,0,0
[3],100,contig_best,original,1.2,0.09760000109672547,0.0559,-2
[3],100,contig_best,original,1.1,0.0975000023841858,0.0524,-1
[3],1000,contig_best,original,0.5,0,0,0
[3],1000,contig_best,original,1.2,0.0977999985218048,0.0516,-2
[3],1000,contig_best,original,1.1,0.09760000109672547,0.0506,-1
[3],10000,contig_best,original,0.5,0,0,0
[3],10000,contig_best,original,1.2,0.09760000109672547,0.052,-2
[3],10000,contig_best,original,1.1,0.09739999771118164,0.0538,-1
