layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[2],60,contig_best,original,1.1,0.9715000092983246,0.51,-2
[2],60,contig_best,original,1.1,0.6004999876022339,0.8015,-1
[2],70,contig_best,original,1.1,0.6185000240802765,0.832,4000
[2],70,contig_best,original,1.1,0.9704999923706055,0.4985,-2
[2],70,contig_best,original,1.1,0.6164999902248383,0.8285,-1
[2],80,contig_best,original,1.1,0.6229999959468842,0.828,4000
[2],80,contig_best,original,1.1,0.968999981880188,0.5225,-2
[2],80,contig_best,original,1.1,0.6150000095367432,0.8235,-1
[2],90,contig_best,original,1.1,0.5995000004768372,0.8395,5000
[2],90,contig_best,original,1.1,0.9664999842643738,0.5155,-2
[2],90,contig_best,original,1.1,0.6040000021457672,0.8265,-1
[2],100,contig_best,original,1.1,0.6114999949932098,0.8235,4000
[2],100,contig_best,original,1.1,0.9735000133514404,0.5,-2
[2],100,contig_best,original,1.1,0.5934999883174896,0.822,-1
[3],0,contig_best,original,1.1,0.9675000011920929,0.5275,5000
[3],0,contig_best,original,1.1,0.9614999890327454,0.532,-2
[3],0,contig_best,original,1.1,0.9740000069141388,0.5085,-1
[3],10,contig_best,original,1.1,0.7669999897480011,0.8115,5000
[3],10,contig_best,original,1.1,0.9729999899864197,0.498,-2
[3],10,contig_best,original,1.1,0.7800000011920929,0.822,-1
[3],20,contig_best,original,1.1,0.7794999778270721,0.8125,5000
[3],20,contig_best,original,1.1,0.9675000011920929,0.5035,-2
[3],20,contig_best,original,1.1,0.7585000097751617,0.8215,-1
[3],30,contig_best,original,1.1,0.7330000102519989,0.8755,5000
[3],30,contig_best,original,1.1,0.9754999876022339,0.5265,-2
[3],30,contig_best,original,1.1,0.7540000081062317,0.876,-1
[3],40,contig_best,original,1.1,0.7565000057220459,0.8955,5000
[3],40,contig_best,original,1.1,0.9690000116825104,0.5225,-2
[3],40,contig_best,original,1.1,0.7635000050067902,0.9065,-1
[3],50,contig_best,original,1.1,0.7190000116825104,0.9345,5000
[3],50,contig_best,original,1.1,0.9679999947547913,0.523,-2
[3],50,contig_best,original,1.1,0.7319999933242798,0.937,-1
[3],60,contig_best,original,1.1,0.7705000042915344,0.905,5000
[3],60,contig_best,original,1.1,0.9715000092983246,0.526,-2
[3],60,contig_best,original,1.1,0.7615000009536743,0.9095,-1
[3],70,contig_best,original,1.1,0.8025000095367432,0.9185,5000
[3],70,contig_best,original,1.1,0.9665000140666962,0.507,-2
[3],70,contig_best,original,1.1,0.8009999990463257,0.909,-1
[3],80,contig_best,original,1.1,0.81700000166893,0.9395,5000
[3],80,contig_best,original,1.1,0.9659999907016754,0.5185,-2
[3],80,contig_best,original,1.1,0.8254999816417694,0.94,-1
[3],90,contig_best,original,1.1,0.8210000097751617,0.967,5000
[3],90,contig_best,original,1.1,0.9659999907016754,0.5215,-2
[3],90,contig_best,original,1.1,0.8339999914169312,0.962,-1
[3],100,contig_best,original,1.1,0.854500025510788,0.959,5000
[3],100,contig_best,original,1.1,0.9699999988079071,0.505,-2
[3],100,contig_best,original,1.1,0.8604999780654907,0.9605,-1
