layer,sparsity_parameter,k_mode,trojan_type,record_ratio,clean_acc,trojan_acc,loop
[0],10,sparse_best,original,1.1,0.09789999723434448,0.0547,-1
[0],10,sparse_best,adaptive,0.5,0,0,0
[0],10,sparse_best,adaptive,0.7,0,0,0
[0],10,sparse_best,adaptive,0.9,0,0,0
[0],10,sparse_best,adaptive,1.0,0,0,0
[0],10,sparse_best,adaptive,1.1,0.09760000109672547,0.0501,-1
[0],10,contig_random,original,0.5,0,0,0
[0],10,contig_random,original,0.7,0,0,0
[0],10,contig_random,original,0.9,0,0,0
[0],10,contig_random,original,1.0,0,0,0
[0],10,contig_random,original,1.1,0.09850000143051148,0.0523,-1
[0],10,contig_random,adaptive,0.5,0,0,0
[0],10,contig_random,adaptive,0.7,0,0,0
[0],10,contig_random,adaptive,0.9,0,0,0
[0],10,contig_random,adaptive,1.0,0,0,0
[0],10,contig_random,adaptive,1.1,0.09729999899864197,0.0497,-1
[0],100,contig_best,original,0.5,0,0,0
[0],100,contig_best,original,0.7,0,0,0
[0],100,contig_best,original,0.9,0,0,0
[0],100,contig_best,original,1.0,0,0,0
[0],100,contig_best,original,1.1,0.09769999980926514,0.0529,-1
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,0.7,0,0,0
[0],10,contig_best,original,0.9,0,0,0
[0],10,contig_best,original,1.0,0,0,0
[0],10,contig_best,original,1.1,0.09710000157356262,0.0555,-1
[0],100,contig_best,original,0.5,0,0,0
[0],100,contig_best,original,0.7,0,0,0
[0],100,contig_best,original,0.9,0,0,0
[0],100,contig_best,original,1.0,0,0,0
[0],100,contig_best,original,1.1,0.09649999737739563,0.0533,-1
[0],1000,contig_best,original,0.5,0,0,0
[0],1000,contig_best,original,0.7,0,0,0
[0],1000,contig_best,original,0.9,0,0,0
[0],1000,contig_best,original,1.0,0,0,0
[0],1000,contig_best,original,1.1,0.09789999723434448,0.0523,-1
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,0.7,0,0,0
[0],10,contig_best,original,0.9,0,0,0
[0],10,contig_best,original,1.0,0,0,0
[0],10,contig_best,original,1.1,0.0975000023841858,0.054,-1
[0],100,contig_best,original,0.5,0,0,0
[0],100,contig_best,original,0.7,0,0,0
[0],100,contig_best,original,0.9,0,0,0
[0],100,contig_best,original,1.0,0,0,0
[0],100,contig_best,original,1.1,0.09819999933242798,0.0538,-1
[0],1000,contig_best,original,0.5,0,0,0
[0],1000,contig_best,original,0.7,0,0,0
[0],1000,contig_best,original,0.9,0,0,0
[0],1000,contig_best,original,1.0,0,0,0
[0],1000,contig_best,original,1.1,0.09720000028610229,0.0521,-1
[0],inf,contig_best,original,0.5,0,0,0
[0],inf,contig_best,original,0.7,0,0,0
[0],inf,contig_best,original,0.9,0,0,0
[0],inf,contig_best,original,1.0,0,0,0
[0],inf,contig_best,original,1.1,0.09800000190734863,0.0534,-1
[1],10,contig_best,original,0.5,0,0,0
[1],10,contig_best,original,0.7,0,0,0
[1],10,contig_best,original,0.9,0,0,0
[1],10,contig_best,original,1.0,0,0,0
[1],10,contig_best,original,1.1,0.09710000157356262,0.0539,-1
[1],100,contig_best,original,0.5,0,0,0
[1],100,contig_best,original,0.7,0,0,0
[1],100,contig_best,original,0.9,0,0,0
[1],100,contig_best,original,1.0,0,0,0
[1],100,contig_best,original,1.1,0.09800000190734863,0.0495,-1
[1],1000,contig_best,original,0.5,0,0,0
[1],1000,contig_best,original,0.7,0,0,0
[1],1000,contig_best,original,0.9,0,0,0
[1],1000,contig_best,original,1.0,0,0,0
[1],1000,contig_best,original,1.1,0.09769999980926514,0.0504,-1
[1],inf,contig_best,original,0.5,0,0,0
[1],inf,contig_best,original,0.7,0,0,0
[1],inf,contig_best,original,0.9,0,0,0
[1],inf,contig_best,original,1.0,0,0,0
[1],inf,contig_best,original,1.1,0.09660000205039979,0.052,-1
[2],10,contig_best,original,0.5,0,0,0
[2],10,contig_best,original,0.7,0,0,0
[2],10,contig_best,original,0.9,0,0,0
[2],10,contig_best,original,1.0,0,0,0
[2],10,contig_best,original,1.1,0.09700000286102295,0.0536,-1
[2],100,contig_best,original,0.5,0,0,0
[2],100,contig_best,original,0.7,0,0,0
[2],100,contig_best,original,0.9,0,0,0
[2],100,contig_best,original,1.0,0,0,0
[2],100,contig_best,original,1.1,0.09729999899864197,0.0537,-1
[2],1000,contig_best,original,0.5,0,0,0
[2],1000,contig_best,original,0.7,0,0,0
[2],1000,contig_best,original,0.9,0,0,0
[2],1000,contig_best,original,1.0,0,0,0
[2],1000,contig_best,original,1.1,0.09789999723434448,0.0516,-1
[2],inf,contig_best,original,0.5,0,0,0
[2],inf,contig_best,original,0.7,0,0,0
[2],inf,contig_best,original,0.9,0,0,0
[2],inf,contig_best,original,1.0,0,0,0
[2],inf,contig_best,original,1.1,0.023999999463558196,0.0606,-1
[3],10,contig_best,original,0.5,0,0,0
[3],10,contig_best,original,0.7,0,0,0
[3],10,contig_best,original,0.9,0,0,0
[3],10,contig_best,original,1.0,0,0,0
[3],10,contig_best,original,1.1,0.09850000143051148,0.0524,-1
[3],100,contig_best,original,0.5,0,0,0
[3],100,contig_best,original,0.7,0,0,0
[3],100,contig_best,original,0.9,0,0,0
[3],100,contig_best,original,1.0,0,0,0
[3],100,contig_best,original,1.1,0.0977999985218048,0.0518,-1
[3],1000,contig_best,original,0.5,0,0,0
[3],1000,contig_best,original,0.7,0,0,0
[3],1000,contig_best,original,0.9,0,0,0
[3],1000,contig_best,original,1.0,0,0,0
[3],1000,contig_best,original,1.1,0.09840000271797181,0.0534,-1
[3],inf,contig_best,original,0.5,0,0,0
[3],inf,contig_best,original,0.7,0,0,0
[3],inf,contig_best,original,0.9,0,0,0
[3],inf,contig_best,original,1.0,0,0,0
[3],inf,contig_best,original,1.1,0.09760000109672547,0.053,-1
"[0, 1, 2, 3]",10,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",10,contig_best,original,0.7,0,0,0
"[0, 1, 2, 3]",10,contig_best,original,0.9,0,0,0
"[0, 1, 2, 3]",10,contig_best,original,1.0,0,0,0
"[0, 1, 2, 3]",10,contig_best,original,1.1,0.0977999985218048,0.0536,-1
"[0, 1, 2, 3]",100,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",100,contig_best,original,0.7,0,0,0
"[0, 1, 2, 3]",100,contig_best,original,0.9,0,0,0
"[0, 1, 2, 3]",100,contig_best,original,1.0,0,0,0
"[0, 1, 2, 3]",100,contig_best,original,1.1,0.09789999723434448,0.0514,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",1000,contig_best,original,0.7,0,0,0
"[0, 1, 2, 3]",1000,contig_best,original,0.9,0,0,0
"[0, 1, 2, 3]",1000,contig_best,original,1.0,0,0,0
"[0, 1, 2, 3]",1000,contig_best,original,1.1,0.0981000006198883,0.0523,-1
"[0, 1, 2, 3]",inf,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",inf,contig_best,original,0.7,0,0,0
"[0, 1, 2, 3]",inf,contig_best,original,0.9,0,0,0
"[0, 1, 2, 3]",inf,contig_best,original,1.0,0,0,0
"[0, 1, 2, 3]",inf,contig_best,original,1.1,0.012700000405311584,0.0563,-1
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,0.7,0,0,0
[0],10,contig_best,original,0.9,0,0,0
[0],10,contig_best,original,1.0,0,0,0
[0],10,contig_best,original,1.1,0.09789999723434448,0.0513,-1
[0],100,contig_best,original,0.5,0,0,0
[0],100,contig_best,original,0.7,0,0,0
[0],100,contig_best,original,0.9,0,0,0
[0],100,contig_best,original,1.0,0,0,0
[0],100,contig_best,original,1.1,0.09710000157356262,0.053,-1
[0],1000,contig_best,original,0.5,0,0,0
[0],1000,contig_best,original,0.7,0,0,0
[0],1000,contig_best,original,0.9,0,0,0
[0],1000,contig_best,original,1.0,0,0,0
[0],1000,contig_best,original,1.1,0.0968999981880188,0.0548,-1
