layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
[0],10000,contig_best,original,0.2,1.2,0.9323076926744901,0.7192307692307692,1000
[0],10000,contig_best,original,0.2,1.2,0.975357153585979,0.46214285714285713,-3
[0],10000,contig_best,original,0.2,1.2,0.9562500034059797,0.5557142857142857,-1
[0],10000,contig_best,original,0.2,1.2,0.9805357264620918,0.06928571428571428,-2
[1],10000,contig_best,original,0.2,1.2,0.9346153873663682,0.7946153846153846,400
[1],10000,contig_best,original,0.2,1.2,0.9905357211828232,0.4928571428571429,-3
[1],10000,contig_best,original,0.2,1.2,0.960535717861993,0.6832142857142857,-1
[1],10000,contig_best,original,0.2,1.2,0.980535722204617,0.06928571428571428,-2
[2],10000,contig_best,original,0.2,1.2,0.9315384580538824,0.9015384615384615,1600
[2],10000,contig_best,original,0.2,1.2,0.9596428594418934,0.6378571428571429,-3
[2],10000,contig_best,original,0.2,1.2,0.918928573174136,0.8214285714285714,-1
[2],10000,contig_best,original,0.2,1.2,0.9805357264620918,0.06910714285714285,-2
[3],10000,contig_best,original,0.2,1.2,0.9353846174020034,0.9046153846153846,2000
[3],10000,contig_best,original,0.2,1.2,0.9373214298060962,0.8564285714285714,-3
[3],10000,contig_best,original,0.2,1.2,0.9401785720671926,0.85125,-1
[3],10000,contig_best,original,0.2,1.2,0.980357156268188,0.06910714285714285,-2
[4],10000,contig_best,original,0.2,1.2,0.9469230816914485,0.8761538461538462,1000
[4],10000,contig_best,original,0.2,1.2,0.9764285779425076,0.7439285714285714,-3
[4],10000,contig_best,original,0.2,1.2,0.9501785721097674,0.8330357142857143,-1
[4],10000,contig_best,original,0.2,1.2,0.980357153075082,0.06910714285714285,-2
[5],10000,contig_best,original,0.2,1.2,0.9476923117270837,0.48615384615384616,2000
[5],10000,contig_best,original,0.2,1.2,0.9619642921856472,0.5967857142857143,-3
[5],10000,contig_best,original,0.2,1.2,0.9619642921856472,0.5975,-1
[5],10000,contig_best,original,0.2,1.2,0.9803571520107133,0.06928571428571428,-2
[6],10000,contig_best,original,0.2,1.2,0.9438461569639353,0.7738461538461539,1600
[6],10000,contig_best,original,0.2,1.2,0.9680357245462281,0.7078571428571429,-3
[6],10000,contig_best,original,0.2,1.2,0.9562500012772424,0.7692857142857142,-1
[6],10000,contig_best,original,0.2,1.2,0.980357153075082,0.06875,-2
[7],10000,contig_best,original,0.2,1.2,0.9269230778400714,0.9161538461538462,1800
[7],10000,contig_best,original,0.2,1.2,0.9476785691721099,0.8117857142857143,-3
[7],10000,contig_best,original,0.2,1.2,0.9441071482641357,0.8651785714285715,-1
[7],10000,contig_best,original,0.2,1.2,0.9803571583969253,0.06910714285714285,-2
[8],10000,contig_best,original,0.2,1.2,0.9338461573307331,0.7138461538461538,1400
[8],10000,contig_best,original,0.2,1.2,0.9910714370863778,0.3142857142857143,-3
[8],10000,contig_best,original,0.2,1.2,0.9482142903975078,0.7698214285714285,-1
[8],10000,contig_best,original,0.2,1.2,0.980357149881976,0.06910714285714285,-2
[9],10000,contig_best,original,0.2,1.2,0.9976923098930945,0.07692307692307693,1
[9],10000,contig_best,original,0.2,1.2,0.9921428646360125,0.10607142857142857,-3
[9],10000,contig_best,original,0.2,1.2,0.9807142966559955,0.06767857142857144,-1
[9],10000,contig_best,original,0.2,1.2,0.9803571509463447,0.06910714285714285,-2
