layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",10,contig_best,original,1.2,0.09800000190734863,0.0527,-2
"[0, 1, 2, 3]",10,contig_best,original,1.1,0.09670000076293946,0.0537,-1
"[0, 1, 2, 3]",100,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",100,contig_best,original,1.2,0.09700000286102295,0.0518,-2
"[0, 1, 2, 3]",100,contig_best,original,1.1,0.09720000028610229,0.0553,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",1000,contig_best,original,1.2,0.09720000028610229,0.0535,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.1,0.09760000109672547,0.0539,-1
"[0, 1, 2, 3]",10000,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",10000,contig_best,original,1.2,0.09760000109672547,0.0544,-2
"[0, 1, 2, 3]",10000,contig_best,original,1.1,0.0977999985218048,0.0539,-1
