fraction,clean_neg,clean_pos,troj_neg,troj_pos,num_nonzero,num_total,fraction
0.1,0.9394,0.9972,0.9524,0.0008,10740,107400,10.0
0.05,0.9324,0.997,0.952,0.0008,5370,107400,5.0
0.01,0.9316,0.9116,0.9522,0.0008,1074,107400,1.0
0.005,0.9236,0.997,0.9522,0.0008,537,107400,0.5
0.001,0.91,0.988,0.951,0.0008,108,107400,0.1005586592178771
0.0005,0.9144,0.996,0.9504,0.0008,54,107400,0.05027932960893855
