layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],2700,contig_best,original,1.1,0.9529999792575836,0.989,-1
[0],2800,contig_best,original,1.1,0.9564999938011169,0.993,5000
[0],2800,contig_best,original,1.1,0.9684999883174896,0.5035,-2
[0],2800,contig_best,original,1.1,0.965499997138977,0.9915,-1
[0],2900,contig_best,original,1.1,0.968999981880188,0.989,4000
[0],2900,contig_best,original,1.1,0.9739999771118164,0.5135,-2
[0],2900,contig_best,original,1.1,0.9580000042915344,0.991,-1
[0],3000,contig_best,original,1.1,0.960999995470047,0.9925,3000
[0],3000,contig_best,original,1.1,0.964000016450882,0.5235,-2
[0],3000,contig_best,original,1.1,0.9634999930858612,0.9905,-1
[0],3100,contig_best,original,1.1,0.9600000083446503,0.993,4000
[0],3100,contig_best,original,1.1,0.9695000052452087,0.5215,-2
[0],3100,contig_best,original,1.1,0.9580000042915344,0.996,-1
[0],3200,contig_best,original,1.1,0.960999995470047,0.9945,4000
[0],3200,contig_best,original,1.1,0.9715000092983246,0.53,-2
[0],3200,contig_best,original,1.1,0.953000009059906,0.9935,-1
[0],3300,contig_best,original,1.1,0.9675000011920929,0.991,4000
[0],3300,contig_best,original,1.1,0.9709999859333038,0.5235,-2
[0],3300,contig_best,original,1.1,0.960999995470047,0.9925,-1
[0],3400,contig_best,original,1.1,0.964000016450882,0.9905,4000
[0],3400,contig_best,original,1.1,0.9619999825954437,0.505,-2
[0],3400,contig_best,original,1.1,0.9610000252723694,0.988,-1
[0],3500,contig_best,original,1.1,0.9645000100135803,0.992,4000
[0],3500,contig_best,original,1.1,0.9680000245571136,0.5035,-2
[0],3500,contig_best,original,1.1,0.9549999833106995,0.989,-1
[0],3600,contig_best,original,1.1,0.9569999873638153,0.992,5000
[0],3600,contig_best,original,1.1,0.972000002861023,0.519,-2
[0],3600,contig_best,original,1.1,0.9639999866485596,0.9925,-1
[0],3700,contig_best,original,1.1,0.9634999930858612,0.9925,5000
[0],3700,contig_best,original,1.1,0.9675000011920929,0.502,-2
[0],3700,contig_best,original,1.1,0.9614999890327454,0.9935,-1
[0],3800,contig_best,original,1.1,0.9549999833106995,0.9945,3000
[0],3800,contig_best,original,1.1,0.9590000212192535,0.516,-2
[0],3800,contig_best,original,1.1,0.9480000138282776,0.9965,-1
[0],3900,contig_best,original,1.1,0.9605000019073486,0.995,5000
[0],3900,contig_best,original,1.1,0.9660000205039978,0.5145,-2
[0],3900,contig_best,original,1.1,0.9620000123977661,0.9955,-1
[0],4000,contig_best,original,1.1,0.9625000059604645,0.994,5000
[0],4000,contig_best,original,1.1,0.9684999883174896,0.513,-2
[0],4000,contig_best,original,1.1,0.9564999938011169,0.9945,-1
[0],4100,contig_best,original,1.1,0.9620000123977661,0.992,5000
[0],4100,contig_best,original,1.1,0.9675000011920929,0.5115,-2
[0],4100,contig_best,original,1.1,0.9660000205039978,0.9935,-1
[0],4200,contig_best,original,1.1,0.9620000123977661,0.994,4000
[0],4200,contig_best,original,1.1,0.968500018119812,0.514,-2
[0],4200,contig_best,original,1.1,0.9555000066757202,0.9945,-1
[0],4300,contig_best,original,1.1,0.9675000011920929,0.9945,5000
[0],4300,contig_best,original,1.1,0.9639999866485596,0.506,-2
[0],4300,contig_best,original,1.1,0.9605000019073486,0.993,-1
[0],4400,contig_best,original,1.1,0.9550000131130219,0.996,5000
[0],4400,contig_best,original,1.1,0.9705000221729279,0.512,-2
[0],4400,contig_best,original,1.1,0.9589999914169312,0.9955,-1
[0],4500,contig_best,original,1.1,0.9569999873638153,0.9965,4000
[0],4500,contig_best,original,1.1,0.9659999907016754,0.5145,-2
[0],4500,contig_best,original,1.1,0.9675000011920929,0.9895,-1
[0],4600,contig_best,original,1.1,0.9650000035762787,0.9955,3000
[0],4600,contig_best,original,1.1,0.9745000004768372,0.516,-2
[0],4600,contig_best,original,1.1,0.9589999914169312,0.99,-1
[0],4700,contig_best,original,1.1,0.9634999930858612,0.992,5000
[0],4700,contig_best,original,1.1,0.9679999947547913,0.5235,-2
[0],4700,contig_best,original,1.1,0.9639999866485596,0.991,-1
[0],4800,contig_best,original,1.1,0.9569999873638153,0.991,4000
[0],4800,contig_best,original,1.1,0.9650000035762787,0.5245,-2
[0],4800,contig_best,original,1.1,0.9625000059604645,0.992,-1
[0],4900,contig_best,original,1.1,0.964000016450882,0.992,5000
[0],4900,contig_best,original,1.1,0.9670000076293945,0.5145,-2
[0],4900,contig_best,original,1.1,0.9650000035762787,0.996,-1
[0],5000,contig_best,original,1.1,0.9665000140666962,0.9985,5000
[0],5000,contig_best,original,1.1,0.9619999825954437,0.5255,-2
[0],5000,contig_best,original,1.1,0.960999995470047,0.9945,-1
[0],5100,contig_best,original,1.1,0.9624999761581421,0.9915,5000
[0],5100,contig_best,original,1.1,0.965499997138977,0.505,-2
[0],5100,contig_best,original,1.1,0.9545000195503235,0.991,-1
[0],5200,contig_best,original,1.1,0.9659999907016754,0.9905,5000
[0],5200,contig_best,original,1.1,0.9684999883174896,0.5205,-2
[0],5200,contig_best,original,1.1,0.9690000116825104,0.992,-1
[0],5300,contig_best,original,1.1,0.9614999890327454,0.9945,5000
[0],5300,contig_best,original,1.1,0.9659999907016754,0.508,-2
[0],5300,contig_best,original,1.1,0.9574999809265137,0.9955,-1
[0],5400,contig_best,original,1.1,0.9574999809265137,0.994,2000
[0],5400,contig_best,original,1.1,0.9679999947547913,0.5275,-2
[0],5400,contig_best,original,1.1,0.9670000076293945,0.985,-1
[0],5500,contig_best,original,1.1,0.960999995470047,0.996,4000
[0],5500,contig_best,original,1.1,0.972000002861023,0.5205,-2
[0],5500,contig_best,original,1.1,0.9574999809265137,0.9935,-1
[0],5600,contig_best,original,1.1,0.9624999761581421,0.9935,5000
[0],5600,contig_best,original,1.1,0.9660000205039978,0.5145,-2
[0],5600,contig_best,original,1.1,0.9580000042915344,0.9915,-1
[0],5700,contig_best,original,1.1,0.9735000133514404,0.992,5000
[0],5700,contig_best,original,1.1,0.9650000035762787,0.5175,-2
[0],5700,contig_best,original,1.1,0.9635000228881836,0.988,-1
[0],5800,contig_best,original,1.1,0.9629999995231628,0.994,3000
[0],5800,contig_best,original,1.1,0.9650000035762787,0.531,-2
[0],5800,contig_best,original,1.1,0.9715000092983246,0.9935,-1
[0],5900,contig_best,original,1.1,0.9589999914169312,0.996,4000
[0],5900,contig_best,original,1.1,0.9749999940395355,0.5085,-2
[0],5900,contig_best,original,1.1,0.9569999873638153,0.995,-1
[0],6000,contig_best,original,1.1,0.9635000228881836,0.995,4000
[0],6000,contig_best,original,1.1,0.9665000140666962,0.5205,-2
[0],6000,contig_best,original,1.1,0.9539999961853027,0.997,-1
[0],6100,contig_best,original,1.1,0.9644999802112579,0.996,5000
[0],6100,contig_best,original,1.1,0.9660000205039978,0.512,-2
[0],6100,contig_best,original,1.1,0.960999995470047,0.994,-1
[0],6200,contig_best,original,1.1,0.9580000042915344,0.995,1000
[0],6200,contig_best,original,1.1,0.972000002861023,0.5055,-2
[0],6200,contig_best,original,1.1,0.9584999978542328,0.9965,-1
[0],6300,contig_best,original,1.1,0.9574999809265137,0.997,5000
[0],6300,contig_best,original,1.1,0.9724999964237213,0.511,-2
[0],6300,contig_best,original,1.1,0.9550000131130219,0.9955,-1
[0],6400,contig_best,original,1.1,0.960999995470047,0.9905,3000
[0],6400,contig_best,original,1.1,0.9715000092983246,0.5185,-2
[0],6400,contig_best,original,1.1,0.9575000107288361,0.9925,-1
[0],6500,contig_best,original,1.1,0.9580000042915344,0.994,2000
[0],6500,contig_best,original,1.1,0.972000002861023,0.509,-2
[0],6500,contig_best,original,1.1,0.9629999995231628,0.991,-1
[0],6600,contig_best,original,1.1,0.960999995470047,0.9925,2000
[0],6600,contig_best,original,1.1,0.9729999899864197,0.5085,-2
[0],6600,contig_best,original,1.1,0.9580000042915344,0.991,-1
[0],6700,contig_best,original,1.1,0.9624999761581421,0.9915,3000
[0],6700,contig_best,original,1.1,0.9729999899864197,0.508,-2
[0],6700,contig_best,original,1.1,0.9564999938011169,0.9935,-1
[0],6800,contig_best,original,1.1,0.964000016450882,0.997,5000
[0],6800,contig_best,original,1.1,0.9709999859333038,0.522,-2
[0],6800,contig_best,original,1.1,0.9614999890327454,0.9965,-1
[0],6900,contig_best,original,1.1,0.965499997138977,0.996,4000
[0],6900,contig_best,original,1.1,0.9675000011920929,0.5175,-2
[0],6900,contig_best,original,1.1,0.9650000035762787,0.996,-1
[0],7000,contig_best,original,1.1,0.9629999995231628,0.992,4000
[0],7000,contig_best,original,1.1,0.968500018119812,0.5055,-2
[0],7000,contig_best,original,1.1,0.9490000009536743,0.9975,-1
[0],7100,contig_best,original,1.1,0.9659999907016754,0.9925,5000
[0],7100,contig_best,original,1.1,0.965499997138977,0.51,-2
[0],7100,contig_best,original,1.1,0.9659999907016754,0.99,-1
[0],7200,contig_best,original,1.1,0.9600000083446503,0.999,5000
[0],7200,contig_best,original,1.1,0.9675000011920929,0.508,-2
[0],7200,contig_best,original,1.1,0.9564999938011169,0.9965,-1
[0],7300,contig_best,original,1.1,0.9625000059604645,0.9985,5000
[0],7300,contig_best,original,1.1,0.965499997138977,0.5235,-2
[0],7300,contig_best,original,1.1,0.9670000076293945,0.997,-1
[0],7400,contig_best,original,1.1,0.9679999947547913,0.9945,5000
[0],7400,contig_best,original,1.1,0.9629999995231628,0.5085,-2
[0],7400,contig_best,original,1.1,0.9604999721050262,0.996,-1
[0],7500,contig_best,original,1.1,0.9570000171661377,0.9985,3000
[0],7500,contig_best,original,1.1,0.9645000100135803,0.519,-2
[0],7500,contig_best,original,1.1,0.9580000042915344,0.9945,-1
[0],7600,contig_best,original,1.1,0.9589999914169312,0.992,3000
[0],7600,contig_best,original,1.1,0.968999981880188,0.509,-2
[0],7600,contig_best,original,1.1,0.960999995470047,0.996,-1
[0],7700,contig_best,original,1.1,0.9629999995231628,0.9905,4000
[0],7700,contig_best,original,1.1,0.9699999988079071,0.5285,-2
[0],7700,contig_best,original,1.1,0.9670000076293945,0.9905,-1
[0],7800,contig_best,original,1.1,0.9555000066757202,0.998,5000
[0],7800,contig_best,original,1.1,0.9649999737739563,0.5175,-2
[0],7800,contig_best,original,1.1,0.9535000026226044,0.999,-1
[0],7900,contig_best,original,1.1,0.9634999930858612,0.9925,2000
[0],7900,contig_best,original,1.1,0.968500018119812,0.518,-2
[0],7900,contig_best,original,1.1,0.9635000228881836,0.995,-1
[0],8000,contig_best,original,1.1,0.9615000188350677,0.9975,4000
[0],8000,contig_best,original,1.1,0.9699999988079071,0.51,-2
[0],8000,contig_best,original,1.1,0.9554999768733978,0.998,-1
[0],8100,contig_best,original,1.1,0.9645000100135803,0.995,4000
[0],8100,contig_best,original,1.1,0.9705000221729279,0.525,-2
[0],8100,contig_best,original,1.1,0.960999995470047,0.9915,-1
[0],8200,contig_best,original,1.1,0.9629999995231628,0.9945,3000
[0],8200,contig_best,original,1.1,0.9699999988079071,0.508,-2
[0],8200,contig_best,original,1.1,0.9615000188350677,0.989,-1
[0],8300,contig_best,original,1.1,0.9675000011920929,0.996,5000
[0],8300,contig_best,original,1.1,0.9724999964237213,0.5185,-2
[0],8300,contig_best,original,1.1,0.9584999978542328,0.997,-1
[0],8400,contig_best,original,1.1,0.9570000171661377,0.9975,4000
[0],8400,contig_best,original,1.1,0.972000002861023,0.534,-2
[0],8400,contig_best,original,1.1,0.9665000140666962,0.9935,-1
[0],8500,contig_best,original,1.1,0.9625000059604645,0.9935,5000
[0],8500,contig_best,original,1.1,0.9679999947547913,0.5135,-2
[0],8500,contig_best,original,1.1,0.9650000035762787,0.992,-1
[0],8600,contig_best,original,1.1,0.9650000035762787,0.9955,5000
[0],8600,contig_best,original,1.1,0.9695000052452087,0.5135,-2
[0],8600,contig_best,original,1.1,0.9645000100135803,0.997,-1
[0],8700,contig_best,original,1.1,0.9659999907016754,0.996,5000
[0],8700,contig_best,original,1.1,0.9644999802112579,0.5245,-2
[0],8700,contig_best,original,1.1,0.965499997138977,0.993,-1
[0],8800,contig_best,original,1.1,0.9670000076293945,0.996,5000
[0],8800,contig_best,original,1.1,0.964000016450882,0.518,-2
[0],8800,contig_best,original,1.1,0.9514999985694885,0.9945,-1
[0],8900,contig_best,original,1.1,0.9564999938011169,0.9965,4000
[0],8900,contig_best,original,1.1,0.9670000076293945,0.5095,-2
[0],8900,contig_best,original,1.1,0.9619999825954437,0.9975,-1
[0],9000,contig_best,original,1.1,0.9604999721050262,0.997,2000
[0],9000,contig_best,original,1.1,0.9705000221729279,0.5235,-2
[0],9000,contig_best,original,1.1,0.9650000035762787,0.994,-1
[0],9100,contig_best,original,1.1,0.9650000035762787,0.993,4000
[0],9100,contig_best,original,1.1,0.9675000011920929,0.5235,-2
[0],9100,contig_best,original,1.1,0.9605000019073486,0.996,-1
[0],9200,contig_best,original,1.1,0.9695000052452087,0.9925,4000
[0],9200,contig_best,original,1.1,0.9715000092983246,0.5145,-2
[0],9200,contig_best,original,1.1,0.9580000042915344,0.997,-1
[0],9300,contig_best,original,1.1,0.9620000123977661,0.991,5000
[0],9300,contig_best,original,1.1,0.9679999947547913,0.5065,-2
[0],9300,contig_best,original,1.1,0.9670000076293945,0.9915,-1
[0],9400,contig_best,original,1.1,0.964000016450882,0.989,5000
[0],9400,contig_best,original,1.1,0.9684999883174896,0.4975,-2
[0],9400,contig_best,original,1.1,0.964000016450882,0.9855,-1
[0],9500,contig_best,original,1.1,0.960999995470047,0.9945,5000
[0],9500,contig_best,original,1.1,0.9704999923706055,0.498,-2
[0],9500,contig_best,original,1.1,0.9645000100135803,0.991,-1
[0],9600,contig_best,original,1.1,0.9660000205039978,0.992,4000
[0],9600,contig_best,original,1.1,0.964000016450882,0.4955,-2
[0],9600,contig_best,original,1.1,0.9599999785423279,0.996,-1
[0],9700,contig_best,original,1.1,0.9605000019073486,0.992,5000
[0],9700,contig_best,original,1.1,0.9675000011920929,0.5195,-2
[0],9700,contig_best,original,1.1,0.9565000236034393,0.994,-1
[0],9800,contig_best,original,1.1,0.9635000228881836,0.9945,5000
[0],9800,contig_best,original,1.1,0.9690000116825104,0.5255,-2
[0],9800,contig_best,original,1.1,0.9570000171661377,0.996,-1
[0],9900,contig_best,original,1.1,0.9680000245571136,0.988,3000
[0],9900,contig_best,original,1.1,0.9730000197887421,0.512,-2
[0],9900,contig_best,original,1.1,0.9504999816417694,0.9965,-1
[0],10000,contig_best,original,1.1,0.9650000035762787,0.9895,4000
[0],10000,contig_best,original,1.1,0.9670000076293945,0.522,-2
[0],10000,contig_best,original,1.1,0.9590000212192535,0.9935,-1
[1],0,contig_best,original,1.1,0.9695000052452087,0.5185,2000
[1],0,contig_best,original,1.1,0.9619999825954437,0.519,-2
[1],0,contig_best,original,1.1,0.9659999907016754,0.5065,-1
[1],100,contig_best,original,1.1,0.8095000088214874,0.846,5000
[1],100,contig_best,original,1.1,0.9670000076293945,0.5085,-2
[1],100,contig_best,original,1.1,0.8145000040531158,0.847,-1
[1],200,contig_best,original,1.1,0.8564999997615814,0.8955,5000
[1],200,contig_best,original,1.1,0.9629999995231628,0.511,-2
[1],200,contig_best,original,1.1,0.8360000252723694,0.9015,-1
[1],300,contig_best,original,1.1,0.8619999885559082,0.94,5000
[1],300,contig_best,original,1.1,0.9679999947547913,0.524,-2
[1],300,contig_best,original,1.1,0.8544999957084656,0.946,-1
[1],400,contig_best,original,1.1,0.8294999897480011,0.965,5000
[1],400,contig_best,original,1.1,0.9749999940395355,0.5105,-2
[1],400,contig_best,original,1.1,0.8120000064373016,0.9645,-1
[1],500,contig_best,original,1.1,0.8019999861717224,0.9685,4000
[1],500,contig_best,original,1.1,0.976500004529953,0.5135,-2
[1],500,contig_best,original,1.1,0.7955000102519989,0.9625,-1
[1],600,contig_best,original,1.1,0.8264999985694885,0.9665,5000
[1],600,contig_best,original,1.1,0.9690000116825104,0.5165,-2
[1],600,contig_best,original,1.1,0.8289999961853027,0.9575,-1
[1],700,contig_best,original,1.1,0.8790000081062317,0.9575,5000
[1],700,contig_best,original,1.1,0.9589999914169312,0.507,-2
[1],700,contig_best,original,1.1,0.8745000064373016,0.9545,-1
[1],800,contig_best,original,1.1,0.887499988079071,0.954,5000
[1],800,contig_best,original,1.1,0.9715000092983246,0.5185,-2
[1],800,contig_best,original,1.1,0.8725000023841858,0.9465,-1
[1],900,contig_best,original,1.1,0.8950000107288361,0.958,5000
[1],900,contig_best,original,1.1,0.9754999876022339,0.5185,-2
[1],900,contig_best,original,1.1,0.8815000057220459,0.9625,-1
[1],1000,contig_best,original,1.1,0.8499999940395355,0.928,5000
[1],1000,contig_best,original,1.1,0.9704999923706055,0.5135,-2
[1],1000,contig_best,original,1.1,0.8554999828338623,0.9225,-1
[1],1100,contig_best,original,1.1,0.8885000050067902,0.915,5000
[1],1100,contig_best,original,1.1,0.9665000140666962,0.52,-2
[1],1100,contig_best,original,1.1,0.8720000088214874,0.917,-1
[1],1200,contig_best,original,1.1,0.8589999973773956,0.93,5000
[1],1200,contig_best,original,1.1,0.9659999907016754,0.5095,-2
[1],1200,contig_best,original,1.1,0.8699999749660492,0.927,-1
[1],1300,contig_best,original,1.1,0.9180000126361847,0.9675,5000
[1],1300,contig_best,original,1.1,0.965499997138977,0.5005,-2
[1],1300,contig_best,original,1.1,0.9004999995231628,0.9655,-1
[1],1400,contig_best,original,1.1,0.9214999973773956,0.959,5000
[1],1400,contig_best,original,1.1,0.968500018119812,0.4925,-2
[1],1400,contig_best,original,1.1,0.9220000207424164,0.9615,-1
[1],1500,contig_best,original,1.1,0.9120000004768372,0.976,5000
[1],1500,contig_best,original,1.1,0.9729999899864197,0.5205,-2
[1],1500,contig_best,original,1.1,0.9194999933242798,0.972,-1
[1],1600,contig_best,original,1.1,0.9270000159740448,0.9695,5000
[1],1600,contig_best,original,1.1,0.9714999794960022,0.5255,-2
[1],1600,contig_best,original,1.1,0.9069999754428864,0.9725,-1
[1],1700,contig_best,original,1.1,0.9280000030994415,0.963,5000
[1],1700,contig_best,original,1.1,0.9664999842643738,0.5115,-2
[1],1700,contig_best,original,1.1,0.9350000023841858,0.957,-1
[1],1800,contig_best,original,1.1,0.9124999940395355,0.9655,5000
[1],1800,contig_best,original,1.1,0.9660000205039978,0.5115,-2
[1],1800,contig_best,original,1.1,0.9224999845027924,0.968,-1
[1],1900,contig_best,original,1.1,0.9284999966621399,0.969,5000
[1],1900,contig_best,original,1.1,0.9694999754428864,0.518,-2
[1],1900,contig_best,original,1.1,0.9285000264644623,0.9675,-1
[1],2000,contig_best,original,1.1,0.9325000047683716,0.9705,5000
[1],2000,contig_best,original,1.1,0.972000002861023,0.5045,-2
[1],2000,contig_best,original,1.1,0.9460000097751617,0.9685,-1
[1],2100,contig_best,original,1.1,0.925000011920929,0.9605,5000
[1],2100,contig_best,original,1.1,0.9680000245571136,0.503,-2
[1],2100,contig_best,original,1.1,0.9309999942779541,0.9645,-1
[1],2200,contig_best,original,1.1,0.9259999990463257,0.9665,5000
[1],2200,contig_best,original,1.1,0.9650000035762787,0.497,-2
[1],2200,contig_best,original,1.1,0.929500013589859,0.9675,-1
[1],2300,contig_best,original,1.1,0.9185000061988831,0.977,5000
[1],2300,contig_best,original,1.1,0.9650000035762787,0.507,-2
[1],2300,contig_best,original,1.1,0.9130000174045563,0.9745,-1
[1],2400,contig_best,original,1.1,0.9189999997615814,0.9765,5000
[1],2400,contig_best,original,1.1,0.9749999940395355,0.4945,-2
[1],2400,contig_best,original,1.1,0.9135000109672546,0.9785,-1
[1],2500,contig_best,original,1.1,0.9214999973773956,0.981,5000
[1],2500,contig_best,original,1.1,0.9634999930858612,0.505,-2
[1],2500,contig_best,original,1.1,0.9255000054836273,0.972,-1
[1],2600,contig_best,original,1.1,0.921999990940094,0.981,5000
[1],2600,contig_best,original,1.1,0.9670000076293945,0.4995,-2
[1],2600,contig_best,original,1.1,0.9280000030994415,0.9765,-1
[1],2700,contig_best,original,1.1,0.9280000030994415,0.9745,4000
[1],2700,contig_best,original,1.1,0.9669999778270721,0.5095,-2
[1],2700,contig_best,original,1.1,0.94200000166893,0.9655,-1
[1],2800,contig_best,original,1.1,0.9275000095367432,0.9755,5000
[1],2800,contig_best,original,1.1,0.968500018119812,0.517,-2
[1],2800,contig_best,original,1.1,0.926499992609024,0.9765,-1
[1],2900,contig_best,original,1.1,0.9204999804496765,0.9825,5000
[1],2900,contig_best,original,1.1,0.9745000004768372,0.5175,-2
[1],2900,contig_best,original,1.1,0.9200000166893005,0.979,-1
[1],3000,contig_best,original,1.1,0.9365000128746033,0.9685,5000
[1],3000,contig_best,original,1.1,0.968500018119812,0.5085,-2
[1],3000,contig_best,original,1.1,0.9354999959468842,0.9735,-1
[1],3100,contig_best,original,1.1,0.9375,0.979,5000
[1],3100,contig_best,original,1.1,0.973499983549118,0.5425,-2
[1],3100,contig_best,original,1.1,0.9255000054836273,0.969,-1
[1],3200,contig_best,original,1.1,0.9389999806880951,0.9765,5000
[1],3200,contig_best,original,1.1,0.965499997138977,0.526,-2
[1],3200,contig_best,original,1.1,0.9259999990463257,0.9785,-1
[1],3300,contig_best,original,1.1,0.9379999935626984,0.9755,5000
[1],3300,contig_best,original,1.1,0.9634999930858612,0.5265,-2
[1],3300,contig_best,original,1.1,0.9350000023841858,0.982,-1
[1],3400,contig_best,original,1.1,0.9345000088214874,0.9785,5000
[1],3400,contig_best,original,1.1,0.9749999940395355,0.5105,-2
[1],3400,contig_best,original,1.1,0.9345000088214874,0.9805,-1
[1],3500,contig_best,original,1.1,0.9314999878406525,0.984,5000
[1],3500,contig_best,original,1.1,0.9695000052452087,0.515,-2
[1],3500,contig_best,original,1.1,0.9365000128746033,0.986,-1
[1],3600,contig_best,original,1.1,0.9385000169277191,0.987,5000
[1],3600,contig_best,original,1.1,0.9704999923706055,0.522,-2
