layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],2700,contig_best,original,1.1,0.9509999752044678,0.994,-1
[0],2800,contig_best,original,1.1,0.9519999921321869,0.9925,4000
[0],2800,contig_best,original,1.1,0.9745000004768372,0.081,-2
[0],2800,contig_best,original,1.1,0.9519999921321869,0.9925,-1
[0],2900,contig_best,original,1.1,0.9494999945163727,0.9935,5000
[0],2900,contig_best,original,1.1,0.9745000004768372,0.0905,-2
[0],2900,contig_best,original,1.1,0.9449999928474426,0.988,-1
[0],3000,contig_best,original,1.1,0.9465000033378601,0.9955,5000
[0],3000,contig_best,original,1.1,0.9725000262260437,0.0945,-2
[0],3000,contig_best,original,1.1,0.9545000195503235,0.994,-1
[0],3100,contig_best,original,1.1,0.948500007390976,0.994,5000
[0],3100,contig_best,original,1.1,0.9745000004768372,0.08,-2
[0],3100,contig_best,original,1.1,0.9494999945163727,0.993,-1
[0],3200,contig_best,original,1.1,0.9615000188350677,0.9935,5000
[0],3200,contig_best,original,1.1,0.976500004529953,0.0935,-2
[0],3200,contig_best,original,1.1,0.9494999945163727,0.9925,-1
[0],3300,contig_best,original,1.1,0.9555000066757202,0.99,5000
[0],3300,contig_best,original,1.1,0.9770000278949738,0.0865,-2
[0],3300,contig_best,original,1.1,0.9469999969005585,0.992,-1
[0],3400,contig_best,original,1.1,0.9584999978542328,0.9925,5000
[0],3400,contig_best,original,1.1,0.9794999957084656,0.094,-2
[0],3400,contig_best,original,1.1,0.9475000202655792,0.994,-1
[0],3500,contig_best,original,1.1,0.9490000009536743,0.997,5000
[0],3500,contig_best,original,1.1,0.9755000174045563,0.087,-2
[0],3500,contig_best,original,1.1,0.9560000002384186,0.9935,-1
[0],3600,contig_best,original,1.1,0.9569999873638153,0.9875,5000
[0],3600,contig_best,original,1.1,0.9810000061988831,0.102,-2
[0],3600,contig_best,original,1.1,0.9554999768733978,0.988,-1
[0],3700,contig_best,original,1.1,0.9519999921321869,0.988,5000
[0],3700,contig_best,original,1.1,0.9779999852180481,0.085,-2
[0],3700,contig_best,original,1.1,0.9465000033378601,0.9915,-1
[0],3800,contig_best,original,1.1,0.9525000154972076,0.9905,5000
[0],3800,contig_best,original,1.1,0.9769999980926514,0.1,-2
[0],3800,contig_best,original,1.1,0.9524999856948853,0.99,-1
[0],3900,contig_best,original,1.1,0.9605000019073486,0.9885,4000
[0],3900,contig_best,original,1.1,0.9774999916553497,0.084,-2
[0],3900,contig_best,original,1.1,0.9449999928474426,0.9935,-1
[0],4000,contig_best,original,1.1,0.949999988079071,0.987,4000
[0],4000,contig_best,original,1.1,0.9740000069141388,0.0905,-2
[0],4000,contig_best,original,1.1,0.9589999914169312,0.995,-1
[0],4100,contig_best,original,1.1,0.949999988079071,0.995,5000
[0],4100,contig_best,original,1.1,0.9709999859333038,0.0865,-2
[0],4100,contig_best,original,1.1,0.9474999904632568,0.9955,-1
[0],4200,contig_best,original,1.1,0.9490000009536743,0.9915,5000
[0],4200,contig_best,original,1.1,0.9699999988079071,0.0815,-2
[0],4200,contig_best,original,1.1,0.9594999849796295,0.993,-1
[0],4300,contig_best,original,1.1,0.9539999961853027,0.991,5000
[0],4300,contig_best,original,1.1,0.9705000221729279,0.084,-2
[0],4300,contig_best,original,1.1,0.945000022649765,0.992,-1
[0],4400,contig_best,original,1.1,0.9580000042915344,0.991,4000
[0],4400,contig_best,original,1.1,0.9769999980926514,0.0985,-2
[0],4400,contig_best,original,1.1,0.9514999985694885,0.99,-1
[0],4500,contig_best,original,1.1,0.9495000243186951,0.9895,5000
[0],4500,contig_best,original,1.1,0.9790000021457672,0.0825,-2
[0],4500,contig_best,original,1.1,0.9520000219345093,0.9895,-1
[0],4600,contig_best,original,1.1,0.9460000097751617,0.9965,5000
[0],4600,contig_best,original,1.1,0.9745000004768372,0.0735,-2
[0],4600,contig_best,original,1.1,0.9535000026226044,0.997,-1
[0],4700,contig_best,original,1.1,0.9544999897480011,0.9935,4000
[0],4700,contig_best,original,1.1,0.9769999980926514,0.0865,-2
[0],4700,contig_best,original,1.1,0.953000009059906,0.994,-1
[0],4800,contig_best,original,1.1,0.9474999904632568,0.9905,5000
[0],4800,contig_best,original,1.1,0.9710000157356262,0.092,-2
[0],4800,contig_best,original,1.1,0.9465000033378601,0.992,-1
