fraction,clean_neg,clean_pos,troj_neg,troj_pos,num_nonzero,num_total,fraction
0.1,0.9384,0.9888,0.9524,0.0008,10740,107400,10.0
0.05,0.9346,0.9968,0.9524,0.0008,5370,107400,5.0
0.01,0.9302,0.9062,0.9524,0.0008,1074,107400,1.0
0.005,0.9304,0.9968,0.9524,0.0006,537,107400,0.5
0.001,0.9138,0.9968,0.9518,0.0008,108,107400,0.1005586592178771
